"","Clusters","major_age","age_score"
"DEM","DEM","09_11w",0
"SOB","SOB","09_11w",20.7898491441487
"DF","DF","12_13w",22.185071914698
"DP","DP","14_16w",32.039676941739
"POB","POB","20_22w",67.6982442648123
"OB","OB","20_22w",100
