"","id","var","highest","ensemble_df","cell_percentage"
"C10orf91","C10orf91",2.04124145231932,"DP","ENSG00000180066",0.0267881060809001
"WFDC9","WFDC9",2.04124145231932,"DP","ENSG00000180205",0.0267881060809001
"DEFB124","DEFB124",2.04124145231932,"DP","ENSG00000180383",0.0267881060809001
"S1PR5","S1PR5",2.04124145231932,"DP","ENSG00000180739",0.0267881060809001
"MAP6D1","MAP6D1",2.04124145231932,"DP","ENSG00000180834",0.0267881060809001
"OR52N5","OR52N5",2.04124145231932,"DP","ENSG00000181009",0.0267881060809001
"HECW1-IT1","HECW1-IT1",2.04124145231932,"DP","ENSG00000181211",0.0267881060809001
"SLX1B","SLX1B",2.04124145231932,"DP","ENSG00000181625",0.0267881060809001
"AC138028.1","AC138028.1",2.04124145231932,"DP","ENSG00000182376",0.0267881060809001
"OTOL1","OTOL1",2.04124145231932,"DP","ENSG00000182447",0.0267881060809001
"C11orf88","C11orf88",2.04124145231932,"DP","ENSG00000183644",0.0267881060809001
"MRGPRE","MRGPRE",2.04124145231932,"DP","ENSG00000184350",0.0267881060809001
"SPATA32","SPATA32",2.04124145231932,"DP","ENSG00000184361",0.0267881060809001
"SLC22A10","SLC22A10",2.04124145231932,"DP","ENSG00000184999",0.0803643182427002
"TEX33","TEX33",2.04124145231932,"DP","ENSG00000185264",0.0267881060809001
"TMEM105","TMEM105",2.04124145231932,"DP","ENSG00000185332",0.0267881060809001
"ZPBP2","ZPBP2",2.04124145231932,"DP","ENSG00000186075",0.0267881060809001
"FCAR","FCAR",2.04124145231932,"DP","ENSG00000186431",0.0267881060809001
"CYP4F8","CYP4F8",2.04124145231932,"DP","ENSG00000186526",0.0267881060809001
"AC114267.1","AC114267.1",2.04124145231932,"DP","ENSG00000186723",0.0267881060809001
"KCNK18","KCNK18",2.04124145231932,"DP","ENSG00000186795",0.0267881060809001
"SLC18A3","SLC18A3",2.04124145231932,"DP","ENSG00000187714",0.0267881060809001
"LRRC74B","LRRC74B",2.04124145231932,"DP","ENSG00000187905",0.0267881060809001
