"Barcode"	"Cluster"
"100"	"B11_B09_P1-F12_LIG6_5_1"	"DE"
"101"	"F02_B04_P1-F10_LIG17_5_1"	"DE"
"102"	"C02_B04_P1-F11_LIG183_5_1"	"DE"
"103"	"G10_A10_P1-F12_LIG277_5_1"	"DE"
"104"	"D06_E12_P3-G02_LIG48_5_1"	"DE"
"105"	"B10_A11_P1-F12_LIG106_5_1"	"DE"
"106"	"A05_D05_P1-F11_LIG111_5_1"	"DE"
"107"	"D11_F03_P1-F09_LIG302_5_1"	"DE"
"108"	"D10_A07_P3-G03_LIG179_5_1"	"DE"
"109"	"F02_B03_P3-G03_LIG95_5_1"	"DE"
"110"	"F10_A06_P1-F09_LIG252_5_1"	"DE"
"111"	"G11_F01_P1-F10_LIG73_5_1"	"DE"
"112"	"F02_B09_P1-F10_LIG95_5_1"	"DE"
"113"	"E06_E03_P1-F09_LIG126_5_1"	"DE"
"114"	"G10_A07_P1-F10_LIG281_5_1"	"DE"
"115"	"F02_B11_P3-G03_LIG134_5_1"	"DE"
"116"	"A03_C04_P3-G02_LIG94_5_1"	"DE"
"117"	"B02_B12_P1-F12_LIG360_5_1"	"DE"
"118"	"E10_A09_P1-F09_LIG164_5_1"	"DE"
"119"	"B12_G10_P3-G03_LIG59_5_1"	"DE"
"120"	"B11_B06_P1-F09_LIG10_5_1"	"DE"
"121"	"B03_C12_P1-F09_LIG280_5_1"	"DE"
"122"	"E10_A11_P1-F09_LIG191_5_1"	"DE"
"123"	"C03_C10_P1-F09_LIG355_5_1"	"DE"
"124"	"D02_B07_P1-F12_LIG260_5_1"	"DE"
"125"	"B02_B03_P3-G03_LIG180_5_1"	"DE"
"126"	"A12_G08_P1-F10_LIG269_5_1"	"DE"
"127"	"F02_B01_P1-F09_LIG122_5_1"	"DE"
"128"	"C11_F05_P1-F11_LIG183_5_1"	"DE"
"129"	"A06_E04_P3-G03_LIG195_5_1"	"DE"
"130"	"H02_B05_P1-F10_LIG131_5_1"	"DE"
"131"	"G10_A09_P1-F09_LIG357_5_1"	"DE"
"132"	"F11_B11_P1-F09_LIG377_5_1"	"DE"
"133"	"G10_A07_P1-F10_LIG205_5_1"	"DE"
"134"	"G11_B03_P3-G02_LIG76_5_1"	"DE"
"135"	"C06_E06_P1-F11_LIG45_5_1"	"DE"
"136"	"A02_B06_P1-F12_LIG359_5_1"	"DE"
"137"	"A06_E03_P1-F12_LIG130_5_1"	"DE"
"138"	"D06_E04_P1-F10_LIG265_5_1"	"DE"
"139"	"C12_G11_P3-G02_LIG52_5_1"	"DE"
"140"	"A05_D04_P1-F09_LIG9_5_1"	"DE"
"141"	"E03_C07_P1-F12_LIG344_5_1"	"DE"
"142"	"C11_B11_P1-F12_LIG140_5_1"	"DE"
"143"	"F12_G12_P3-G02_LIG15_5_1"	"DE"
"144"	"E06_E06_P1-F11_LIG68_5_1"	"DE"
"145"	"F02_B10_P1-F12_LIG310_5_1"	"DE"
"146"	"C02_B02_P1-F10_LIG200_5_1"	"DE"
"147"	"E11_B12_P1-F09_LIG129_5_1"	"DE"
"148"	"A12_G01_P1-F11_LIG120_5_1"	"DE"
"149"	"B10_A05_P1-F09_LIG68_5_1"	"DE"
"150"	"A10_A07_P1-F12_LIG165_5_1"	"DE"
"151"	"C11_F02_P1-F12_LIG267_5_1"	"DE"
"152"	"F03_C01_P1-F09_LIG93_5_1"	"DE"
"153"	"H02_B03_P1-F09_LIG188_5_1"	"DE"
"154"	"B10_A06_P1-F09_LIG185_5_1"	"DE"
"155"	"A11_F10_P1-F09_LIG324_5_1"	"DE"
"156"	"B02_B12_P1-F10_LIG338_5_1"	"DE"
"157"	"D11_F12_P1-F11_LIG12_5_1"	"DE"
"158"	"B11_F09_P1-F09_LIG21_5_1"	"DE"
"159"	"A02_B10_P1-F09_LIG259_5_1"	"DE"
"160"	"G10_A05_P3-G03_LIG281_5_1"	"DE"
"161"	"H06_E04_P1-F09_LIG178_5_1"	"DE"
"162"	"A02_B11_P1-F10_LIG326_5_1"	"DE"
"163"	"G03_C11_P1-F12_LIG256_5_1"	"DE"
"164"	"D03_C04_P1-F10_LIG368_5_1"	"DE"
"165"	"H02_B09_P3-G03_LIG376_5_1"	"DE"
"166"	"A11_B02_P1-F11_LIG161_5_1"	"DE"
"167"	"H11_B12_P1-F09_LIG379_5_1"	"DE"
"168"	"A05_D03_P1-F09_LIG15_5_1"	"DE"
"169"	"E10_A02_P1-F11_LIG349_5_1"	"DE"
"170"	"G05_D12_P1-F10_LIG53_5_1"	"DE"
"171"	"G03_C04_P1-F10_LIG300_5_1"	"DE"
"172"	"H05_D06_P1-F12_LIG95_5_1"	"DE"
"173"	"B06_E04_P1-F10_LIG10_5_1"	"DE"
"174"	"C02_B12_P3-G02_LIG194_5_1"	"DE"
"175"	"A11_F09_P3-G03_LIG61_5_1"	"DE"
"176"	"G02_B06_P1-F12_LIG184_5_1"	"DE"
"177"	"B03_C04_P3-G02_LIG286_5_1"	"DE"
"178"	"G02_B05_P1-F09_LIG63_5_1"	"DE"
"179"	"D02_B01_P1-F09_LIG287_5_1"	"DE"
"180"	"A12_G04_P3-G02_LIG100_5_1"	"DE"
"181"	"C02_B04_P1-F11_LIG299_5_1"	"DE"
"182"	"C02_B07_P1-F09_LIG199_5_1"	"DE"
"183"	"D10_A09_P3-G02_LIG148_5_1"	"DE"
"184"	"F02_B03_P3-G02_LIG115_5_1"	"DE"
"185"	"A11_F02_P1-F09_LIG250_5_1"	"DE"
"186"	"E02_B11_P3-G02_LIG69_5_1"	"DE"
"187"	"E02_B06_P3-G03_LIG372_5_1"	"DE"
"188"	"H10_A12_P1-F09_LIG291_5_1"	"DE"
"189"	"H11_B02_P1-F11_LIG208_5_1"	"DE"
"190"	"H11_F05_P1-F10_LIG116_5_1"	"DE"
"191"	"E10_A04_P1-F10_LIG200_5_1"	"DE"
"192"	"E03_C03_P1-F12_LIG9_5_1"	"DE"
"193"	"G06_E10_P1-F09_LIG189_5_1"	"DE"
"194"	"G02_B11_P3-G02_LIG43_5_1"	"DE"
"195"	"C11_F11_P1-F12_LIG201_5_1"	"DE"
"196"	"F06_E05_P3-G03_LIG344_5_1"	"DE"
"197"	"H10_A04_P1-F09_LIG363_5_1"	"DE"
"198"	"A10_A11_P1-F11_LIG65_5_1"	"DE"
"199"	"F11_B04_P1-F11_LIG288_5_1"	"DE"
"200"	"B02_B07_P3-G03_LIG241_5_1"	"DE"
"201"	"C02_B06_P1-F10_LIG239_5_1"	"DE"
"202"	"H02_B09_P1-F12_LIG8_5_1"	"DE"
"203"	"E06_E01_P1-F09_LIG37_5_1"	"DE"
"204"	"G03_C03_P3-G03_LIG335_5_1"	"DE"
"205"	"A11_B08_P3-G03_LIG181_5_1"	"DE"
"206"	"E06_E07_P1-F09_LIG277_5_1"	"DE"
"207"	"D10_A12_P1-F11_LIG44_5_1"	"DE"
"208"	"A11_F12_P1-F12_LIG10_5_1"	"DE"
"209"	"E06_E09_P1-F09_LIG272_5_1"	"DE"
"210"	"E02_B09_P3-G02_LIG384_5_1"	"DE"
"211"	"D11_F11_P1-F09_LIG33_5_1"	"DE"
"212"	"A11_B09_P1-F10_LIG5_5_1"	"DE"
"213"	"B03_C09_P1-F10_LIG78_5_1"	"DE"
"214"	"C12_G12_P1-F12_LIG279_5_1"	"DE"
"215"	"H10_A05_P1-F11_LIG128_5_1"	"DE"
"216"	"F03_C04_P1-F09_LIG283_5_1"	"DE"
"217"	"B06_E11_P1-F12_LIG43_5_1"	"DE"
"218"	"B11_B12_P1-F09_LIG41_5_1"	"DE"
"219"	"C03_C09_P3-G03_LIG156_5_1"	"DE"
"220"	"A06_E03_P3-G03_LIG213_5_1"	"DE"
"221"	"B10_A09_P1-F10_LIG217_5_1"	"DE"
"222"	"G10_A08_P1-F09_LIG118_5_1"	"DE"
"223"	"B11_F04_P3-G02_LIG194_5_1"	"DE"
"224"	"F02_B04_P1-F12_LIG124_5_1"	"DE"
"225"	"A06_E03_P1-F12_LIG80_5_1"	"DE"
"226"	"H06_E10_P3-G02_LIG206_5_1"	"DE"
"227"	"C06_E11_P1-F09_LIG124_5_1"	"DE"
"228"	"G11_B03_P1-F09_LIG131_5_1"	"DE"
"229"	"B02_B11_P1-F11_LIG252_5_1"	"DE"
"230"	"A11_B02_P1-F12_LIG60_5_1"	"DE"
"231"	"B05_D09_P1-F10_LIG170_5_1"	"DE"
"232"	"E12_G12_P3-G02_LIG197_5_1"	"DE"
"233"	"H12_G06_P3-G02_LIG167_5_1"	"DE"
"234"	"A11_B11_P1-F10_LIG154_5_1"	"DE"
"235"	"B11_B04_P1-F09_LIG135_5_1"	"DE"
"236"	"B02_B01_P3-G03_LIG130_5_1"	"DE"
"237"	"C11_F06_P1-F11_LIG81_5_1"	"DE"
"238"	"D12_G12_P1-F11_LIG292_5_1"	"DE"
"239"	"A02_B12_P1-F12_LIG129_5_1"	"DE"
"240"	"B02_B09_P1-F09_LIG338_5_1"	"DE"
"241"	"B03_C09_P1-F09_LIG64_5_1"	"DE"
"242"	"B06_E03_P1-F12_LIG315_5_1"	"DE"
"243"	"A03_C05_P1-F09_LIG122_5_1"	"DE"
"244"	"C10_A04_P1-F12_LIG276_5_1"	"DE"
"245"	"F03_C07_P1-F12_LIG319_5_1"	"DE"
"246"	"A12_G11_P1-F09_LIG190_5_1"	"DE"
"247"	"B12_G11_P3-G02_LIG74_5_1"	"DE"
"248"	"F05_D02_P1-F09_LIG359_5_1"	"DE"
"249"	"C02_B09_P1-F09_LIG115_5_1"	"DE"
"250"	"G06_E09_P1-F11_LIG291_5_1"	"DE"
"251"	"A10_A06_P3-G03_LIG274_5_1"	"DE"
"252"	"C05_D01_P3-G02_LIG2_5_1"	"DE"
"253"	"F11_F11_P1-F12_LIG321_5_1"	"DE"
"254"	"H10_A09_P1-F12_LIG136_5_1"	"DE"
"255"	"H03_C12_P3-G03_LIG86_5_1"	"DE"
"256"	"G11_B07_P1-F11_LIG67_5_1"	"DE"
"257"	"F03_C08_P1-F10_LIG243_5_1"	"DE"
"258"	"G06_E05_P1-F09_LIG38_5_1"	"DE"
"259"	"C11_B10_P1-F12_LIG326_5_1"	"DE"
"260"	"A03_C01_P1-F11_LIG150_5_1"	"DE"
"261"	"A05_D04_P1-F09_LIG270_5_1"	"DE"
"262"	"F02_B01_P3-G03_LIG229_5_1"	"DE"
"263"	"H02_B04_P3-G02_LIG15_5_1"	"DE"
"264"	"D06_E12_P3-G02_LIG261_5_1"	"DE"
"265"	"H06_E08_P1-F12_LIG313_5_1"	"DE"
"266"	"C10_A08_P1-F10_LIG199_5_1"	"DE"
"267"	"C06_E08_P1-F12_LIG175_5_1"	"DE"
"268"	"F11_B08_P1-F11_LIG83_5_1"	"DE"
"269"	"H10_A08_P1-F09_LIG237_5_1"	"DE"
"270"	"C03_C03_P1-F11_LIG228_5_1"	"DE"
"271"	"B02_B05_P1-F09_LIG15_5_1"	"DE"
"272"	"H05_D08_P3-G03_LIG46_5_1"	"DE"
"273"	"B11_B11_P3-G03_LIG150_5_1"	"DE"
"274"	"F02_B09_P3-G03_LIG111_5_1"	"DE"
"275"	"B10_A09_P3-G02_LIG124_5_1"	"DE"
"276"	"G10_A02_P1-F10_LIG374_5_1"	"DE"
"277"	"C03_C03_P1-F10_LIG339_5_1"	"DE"
"278"	"E02_B06_P1-F09_LIG193_5_1"	"DE"
"279"	"H11_B08_P1-F11_LIG359_5_1"	"DE"
"280"	"G06_E09_P1-F11_LIG281_5_1"	"DE"
"281"	"A06_E08_P3-G02_LIG115_5_1"	"DE"
"282"	"A12_G06_P1-F09_LIG36_5_1"	"DE"
"283"	"D10_A08_P3-G02_LIG41_5_1"	"DE"
"284"	"E10_A02_P1-F12_LIG44_5_1"	"DE"
"285"	"H10_A11_P1-F12_LIG343_5_1"	"DE"
"286"	"C02_B05_P1-F12_LIG308_5_1"	"DE"
"287"	"A11_F04_P1-F09_LIG48_5_1"	"DE"
"288"	"H03_C05_P1-F10_LIG66_5_1"	"DE"
"289"	"G03_C04_P1-F12_LIG41_5_1"	"DE"
"290"	"C02_B02_P1-F11_LIG269_5_1"	"DE"
"291"	"C02_B02_P1-F11_LIG152_5_1"	"DE"
"292"	"D06_E05_P1-F10_LIG327_5_1"	"DE"
"293"	"A06_E02_P1-F12_LIG106_5_1"	"DE"
"294"	"A11_F12_P1-F11_LIG273_5_1"	"DE"
"295"	"C02_B09_P1-F12_LIG118_5_1"	"DE"
"296"	"B02_B10_P1-F09_LIG208_5_1"	"DE"
"297"	"G03_C02_P3-G03_LIG143_5_1"	"DE"
"298"	"D11_B04_P3-G03_LIG339_5_1"	"DE"
"299"	"G10_A09_P1-F12_LIG355_5_1"	"DE"
"300"	"D10_A08_P1-F10_LIG141_5_1"	"DE"
"301"	"G10_A07_P1-F09_LIG106_5_1"	"DE"
"302"	"F02_B07_P1-F11_LIG104_5_1"	"DE"
"303"	"C11_B12_P1-F11_LIG15_5_1"	"DE"
"304"	"E03_C10_P3-G03_LIG376_5_1"	"DE"
"305"	"A03_C01_P1-F11_LIG379_5_1"	"DE"
"306"	"D02_B06_P3-G03_LIG382_5_1"	"DE"
"307"	"D11_F05_P1-F10_LIG195_5_1"	"DE"
"308"	"H02_B06_P1-F12_LIG5_5_1"	"DE"
"309"	"E05_D05_P1-F11_LIG337_5_1"	"DE"
"310"	"H10_A03_P1-F09_LIG178_5_1"	"DE"
"311"	"G02_B06_P1-F10_LIG6_5_1"	"DE"
"312"	"D11_F11_P1-F12_LIG288_5_1"	"DE"
"313"	"D02_B07_P1-F11_LIG384_5_1"	"DE"
